date,league,home_team,away_team,home_goals,away_goals,status,season
2024-07-03T23:00:00Z,BSA,Criciúma EC,Cruzeiro EC,1,0,FINISHED,2024
2024-07-03T23:00:00Z,BSA,CR Vasco da Gama,Fortaleza EC,2,0,FINISHED,2024
2024-07-04T00:30:00Z,BSA,CA Paranaense,São Paulo FC,1,2,FINISHED,2024
2024-07-04T00:30:00Z,BSA,CA Mineiro,CR Flamengo,2,4,FINISHED,2024
2024-07-04T00:30:00Z,BSA,RB Bragantino,AC Goianiense,3,1,FINISHED,2024
2024-07-04T22:00:00Z,BSA,EC Bahia,EC Juventude,2,0,FINISHED,2024
2024-07-04T22:00:00Z,BSA,Grêmio FBPA,SE Palmeiras,2,2,FINISHED,2024
2024-07-04T23:00:00Z,BSA,SC Corinthians Paulista,EC Vitória,3,2,FINISHED,2024
2024-07-04T23:00:00Z,BSA,Fluminense FC,SC Internacional,1,1,FINISHED,2024
2024-07-06T23:00:00Z,BSA,CR Flamengo,Cuiabá EC,1,1,FINISHED,2024
2024-07-06T23:00:00Z,BSA,São Paulo FC,RB Bragantino,2,0,FINISHED,2024
2024-07-07T19:00:00Z,BSA,Cruzeiro EC,SC Corinthians Paulista,3,0,FINISHED,2024
2024-07-07T19:00:00Z,BSA,Fortaleza EC,Fluminense FC,1,0,FINISHED,2024
2024-07-07T19:00:00Z,BSA,EC Juventude,Grêmio FBPA,3,0,FINISHED,2024
2024-07-07T21:00:00Z,BSA,SC Internacional,CR Vasco da Gama,1,2,FINISHED,2024
2024-07-07T21:30:00Z,BSA,AC Goianiense,CA Paranaense,1,2,FINISHED,2024
2024-07-07T21:30:00Z,BSA,SE Palmeiras,EC Bahia,2,0,FINISHED,2024
2024-07-07T21:30:00Z,BSA,EC Vitória,Criciúma EC,2,1,FINISHED,2024
2024-07-07T23:30:00Z,BSA,Botafogo FR,CA Mineiro,3,0,FINISHED,2024
2024-07-10T21:30:00Z,BSA,Grêmio FBPA,Cruzeiro EC,0,2,FINISHED,2024
2024-07-10T22:00:00Z,BSA,CA Paranaense,EC Bahia,1,3,FINISHED,2024
2024-07-10T22:00:00Z,BSA,CR Vasco da Gama,SC Corinthians Paulista,2,0,FINISHED,2024
2024-07-11T22:30:00Z,BSA,SE Palmeiras,AC Goianiense,3,1,FINISHED,2024
2024-07-11T23:00:00Z,BSA,Criciúma EC,Fluminense FC,1,1,FINISHED,2024
2024-07-11T23:00:00Z,BSA,CR Flamengo,Fortaleza EC,1,2,FINISHED,2024
2024-07-12T00:30:00Z,BSA,CA Mineiro,São Paulo FC,2,1,FINISHED,2024
2024-07-12T00:30:00Z,BSA,EC Vitória,Botafogo FR,0,1,FINISHED,2024
2024-07-13T19:00:00Z,BSA,EC Bahia,Cuiabá EC,1,2,FINISHED,2024
2024-07-13T19:00:00Z,BSA,Cruzeiro EC,RB Bragantino,2,1,FINISHED,2024
2024-07-16T22:00:00Z,BSA,EC Juventude,CA Mineiro,1,1,FINISHED,2024
2024-07-17T00:00:00Z,BSA,SC Corinthians Paulista,Criciúma EC,2,1,FINISHED,2024
2024-07-17T22:00:00Z,BSA,AC Goianiense,CR Vasco da Gama,0,1,FINISHED,2024
2024-07-17T23:00:00Z,BSA,São Paulo FC,Grêmio FBPA,1,0,FINISHED,2024
